DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Country,Longitude,Latitude,LocQual,Source,Comments
210,AA-32031,,,5830,55,-16.1,fruitstone (charred),Phoenix dactylifera,15702,Dalma 11,,settlement,AE,52.31,24.47,B,CalPal,
211,AA-32032,,,6165,55,-15.9,fruitstone (charred),Phoenix dactylifera,15702,Dalma 11,,settlement,AE,52.31,24.47,B,CalPal,
330,AA-52543,,,6220,45,-14.1,charcoal,,15702,Dalma 11,,settlement,AE,52.31,24.47,B,CalPal; King 2004,
331,AA-52544,,,6395,60,,charcoal,,15702,Dalma 11,,settlement,AE,52.31,24.47,B,King 2004,
332,AA-52545,,,6230,45,,charcoal,,15702,Dalma 11,,settlement,AE,52.31,24.47,B,King 2004,
333,AA-52546,,,5830,45,-18.2,charcoal,,15702,Dalma 11,,settlement,AE,52.31,24.47,B,CalPal; King 2004,
1270,Beta-228619,,,3840,40,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1271,Beta-228620,,,3610,40,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1379,Beta-301240,,,2930,40,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1380,Beta-301241,,,3000,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1381,Beta-301242,,,2960,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1382,Beta-301243,,,2930,30,,seed (charred),Phoenix dactylifera,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1383,Beta-301244,,,2990,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1384,Beta-301245,,,2430,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
