DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Country,Longitude,Latitude,LocQual,Source,Comments
1270,Beta-228619,,,3840,40,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1271,Beta-228620,,,3610,40,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1379,Beta-301240,,,2930,40,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1380,Beta-301241,,,3000,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1381,Beta-301242,,,2960,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1382,Beta-301243,,,2930,30,,seed (charred),Phoenix dactylifera,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1383,Beta-301244,,,2990,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1385,Beta-301246,,,2940,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1407,Beta-324905,,,3380,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1408,Beta-324911,,,3040,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1409,Beta-324914,,,2850,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1410,Beta-324916,,,2850,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1411,Beta-324917,,,2800,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1412,Beta-324918,,,2750,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1415,Beta-334296,,,3100,30,,seed (charred),Phoenix dactylifera,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1416,Beta-334297,,,3630,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1417,Beta-334298,,,4330,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1418,Beta-334300,,,3040,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1503,Beta-383159,,,3420,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1512,Beta-402747,,,3040,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1513,Beta-402748,,,2980,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1514,Beta-402749,,,3070,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1515,Beta-402750,,,2910,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1516,Beta-402751,,,2930,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1517,Beta-402752,,,2950,30,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1533,Beta-409911,,,2930,30,,seed (charred),Phoenix dactylifera,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1534,Beta-409912,,,2860,30,,seed (charred),,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1540,Beta-413923,,,3210,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1543,Beta-413926,,,3330,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1544,Beta-413927,,,3440,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1559,Beta-430296,,,3230,30,,seed (charred),Phoenix dactylifera,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1560,Beta-430299,,,3280,30,,bone (charred),,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1570,Beta-435679,,,2900,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1571,Beta-435680,,,3350,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1572,Beta-435681,,,3330,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1573,Beta-435682,,,3310,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1574,Beta-435683,,,3610,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1576,Beta-436095,,,2870,30,,seed (charred),,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1577,Beta-436096,,,2830,30,,seed (charred),,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,Magee et al. 2017,
1580,Beta-447590,,,2750,30,,wood,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1593,Beta-462757,,,3420,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1594,Beta-462758,,,3360,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1595,Beta-462759,,,3490,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1596,Beta-462760,,,3390,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1597,Beta-462761,,,3550,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1598,Beta-462762,,,3260,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1599,Beta-462763,,,3450,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
1600,Beta-462764,,,3500,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7153,OZV-449,,,2960,80,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7155,OZV-451,,,2810,40,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
7156,OZV-454,,,2970,30,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,Weeks et al. 2019,
